seed,arm,lambda_group,input_index,frames,K,boundary_abs_change,interior_abs_change,finite,domain,candidate_consistency_max_error
123,C0,0,2,1470,10,0.0675216093659401,0.012246055528521538,True,True,1.8775463104248047e-06
123,C0,0,3,692,10,,0.013652577996253967,True,True,2.115964889526367e-06
123,C0,0,4,1053,10,0.0722743421792984,0.009139054454863071,True,True,2.0563602447509766e-06
123,C0,0,5,1048,10,0.06295821815729141,0.014027561992406845,True,True,1.9669532775878906e-06
123,C0,0,6,2399,10,0.06620774418115616,0.011721199378371239,True,True,2.0265579223632812e-06
123,C0,0,7,1922,10,0.06358297914266586,0.010638604871928692,True,True,2.294778823852539e-06
123,C0,0,8,2068,10,0.06249573454260826,0.008510530926287174,True,True,1.944601535797119e-06
123,C0,0,9,1497,10,0.0594782792031765,0.011808847077190876,True,True,2.4726614356040955e-06
123,C0,0,10,1558,10,0.061569694429636,0.012005113065242767,True,True,1.2665987014770508e-06
123,C0,0,11,1227,10,0.10052400082349777,0.01198432594537735,True,True,1.5795230865478516e-06
123,C0,0,12,4147,10,0.08612140268087387,0.007573493756353855,True,True,1.8924474716186523e-06
123,C0,0,13,4776,10,0.0654355138540268,0.008419494144618511,True,True,2.0563602447509766e-06
123,C0,0,14,4410,10,0.07009831815958023,0.008523599244654179,True,True,2.205371856689453e-06
123,C0,0,15,1980,10,0.06750018894672394,0.011218661442399025,True,True,1.6614794731140137e-06
123,C0,0,16,1085,10,0.11927769333124161,0.011447126977145672,True,True,2.384185791015625e-06
123,C0,0,17,3846,10,0.07109690457582474,0.011167089454829693,True,True,2.376735210418701e-06
123,C0,0,18,2070,10,0.06285689026117325,0.007683025673031807,True,True,1.817941665649414e-06
123,C0,0,19,2335,10,0.07833750545978546,0.009134846739470959,True,True,1.8477439880371094e-06
123,C0,0,20,1109,10,0.056413087993860245,0.01651841215789318,True,True,1.735985279083252e-06
123,C0,0,21,1020,10,0.06952767074108124,0.01338602788746357,True,True,2.4586915969848633e-06
123,C0,0,22,935,10,0.08747293055057526,0.01693595014512539,True,True,1.7583370208740234e-06
123,C0,0,23,1051,10,0.04918188229203224,0.015132594853639603,True,True,2.0116567611694336e-06
123,C0,0,24,990,10,0.04907701537013054,0.009627040475606918,True,True,2.086162567138672e-06
123,C0,0,25,984,10,0.06258708983659744,0.01143764890730381,True,True,1.9371509552001953e-06
123,C0,0,26,1413,10,0.05870599299669266,0.011888682842254639,True,True,1.7285346984863281e-06
123,C0,0,27,1256,10,0.04895706847310066,0.012015589512884617,True,True,3.1441450119018555e-06
123,C0,0,28,473,10,,0.01514439843595028,True,True,1.817941665649414e-06
123,C0,0,29,476,10,,0.011927793733775616,True,True,2.115964889526367e-06
123,C0,0,30,1232,10,0.05305479094386101,0.014031747356057167,True,True,1.7881393432617188e-06
123,C0,0,31,870,10,0.08929901570081711,0.01301115844398737,True,True,1.5795230865478516e-06
123,C0,0,32,514,10,,0.013472270220518112,True,True,1.601874828338623e-06
123,C0,0,33,389,10,,0.013799792155623436,True,True,2.250075340270996e-06
123,C0,0,34,1233,10,0.05470385402441025,0.009937834925949574,True,True,1.8998980522155762e-06
123,C0,0,35,689,10,,0.013875680044293404,True,True,2.2649765014648438e-06
123,C0,0,36,415,10,,0.01397491805255413,True,True,2.913177013397217e-06
123,C0,0,37,600,10,,0.01609194278717041,True,True,2.294778823852539e-06
123,C0,0,38,543,10,,0.01514220330864191,True,True,2.0042061805725098e-06
123,C0,0,39,516,10,,0.016238361597061157,True,True,1.5050172805786133e-06
123,C0,0,40,271,10,,0.015170088037848473,True,True,1.3113021850585938e-06
123,C0,0,41,511,10,,0.015575467608869076,True,True,2.436339855194092e-06
123,C0,0,42,1350,10,0.06985601037740707,0.012643005698919296,True,True,2.4437904357910156e-06
123,C0,0,43,1056,10,0.08661823719739914,0.016509657725691795,True,True,2.203509211540222e-06
123,C0,0,44,2403,10,0.08648272603750229,0.012857739813625813,True,True,2.4437904357910156e-06
123,C0,0,45,2251,10,0.06493691354990005,0.016025010496377945,True,True,2.1830201148986816e-06
123,C0,0,46,3687,10,0.06165183708071709,0.012103845365345478,True,True,2.771615982055664e-06
123,C0,0,47,1800,10,0.06426339596509933,0.014549750834703445,True,True,2.3543834686279297e-06
123,C0,0,48,935,10,0.08026564121246338,0.019436713308095932,True,True,2.682209014892578e-06
123,C0,0,49,1234,10,0.05984439328312874,0.012198517099022865,True,True,2.0563602447509766e-06
123,C0,0,50,1231,10,0.06982224434614182,0.017067113891243935,True,True,1.6316771507263184e-06
123,C0,0,51,1134,10,0.07752621918916702,0.015152647159993649,True,True,2.086162567138672e-06
123,C0,0,52,5696,10,0.08267860859632492,0.011135116219520569,True,True,2.637505531311035e-06
123,C0,0,53,5943,10,0.07526655495166779,0.01210873480886221,True,True,2.5033950805664062e-06
123,C0,0,54,3480,10,0.0754341408610344,0.012219622731208801,True,True,2.3543834686279297e-06
123,C0,0,55,3505,10,0.07293786108493805,0.010531903244554996,True,True,2.1010637283325195e-06
123,C0,0,56,989,10,0.06510578095912933,0.013121725991368294,True,True,2.2649765014648438e-06
